reseñas_humanas,nombre_producto,categoria_producto,longitud,idioma,idioma_original
Los rollos salen muy baratos con este pack. Vienen 96 y son de doble capa de scottex . Muy suaves . Me encantan y los recomiendo,"        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,128,es,es
La verdad es que he probado otras versiones de esta misma marca y son de mucha calidad. Este en concreto es bastante fino y sólo de una capa. Cumple con su función pero se llega a romper con mucha facilidad.,"        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,207,es,es
Merece la pena porque compras una vez y te olvidas durante un tiempo. Lo recomiendo mucho encima vienen en una caja  y a la vez en packs más pequeños lo que me ayuda a organizarlos.No dudéis! Es muy cómodo.,"        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,206,es,es
"Es un buen papel, si lo que buscas es un buen precio y que venga suficiente cantidad. Si lo que buscas es calidad no lo recomiendo. Es simple papel y no muy agradable al tacto. Para familia numerosa o uso continuo vale, pero suavidad y demás no","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,244,es,es
"Papel normalito, como el típico baratillo que no es muy gordito , pero por el precio y la cantidad. Está bien.","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,110,es,es
Siempre compro esta marca y este tamaño cuando está de oferta en Amazon. Me gusta tener stock suficiente para no preocuparme. Es suave y lo suficientemente resistente para no tener “sorpresas” a la hora de usarlo.,"        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,213,es,es
"Me siento engañado con el producto.Así de tajante lo digo..- Dos capas?  Sí, pero cada una más fina que el papel de fumar, con lo cual, sobran las explicaciones si tu deposición es ""poco consistente"" o incluso normal...Con lo cual, lógicamente deja de ser ""higiénico""..- Acolchado? JAJAJAJAJAJAJAJAJA. Sí bueno, si a eso se refieren con el espacio de aire entre una capa y otra y un muy leve dibujo sobre el papel..- Metros? No lo se, pero puedo asegurar que muy pocos..- Por qué? Porque el papel en el rollo tiene pocas vueltas y está poco comprimido, con lo cual, aparenta en volumen lo que otros con bastantes más metros.Si presionas haciendo pinza con los dedos índice y pulgar entre el canuto y el exterior del rollo, se convierte todo en un grosor de entre 0.5 y no llega a 1 cm.  Ya me diréis cuánto papel puede haber ahí !Es una AUTÉNTICA TOMADURA DE PELO y me fastidia mucho que Amazón (que siempre los he tenido por serios) se presten a estos ""engaños con asombrosas y coloridas ofertas con macro descuentos y blablabla""Una pena también que una empresa con tantos años y (yo) suponía que más formalidad, ofrezca estos productos casi tercermundistas sólamente valiéndose de ""las luces de neón"" de su firma.No se qué hacer con tanto rollo de papel de fumar.Para lo que está concebido no sirve, a no ser que emplees como mínimo 3 ó 4 veces más papel del que usarías normalmente de otras marcas, como por ejemplo el propio que ofrecen los supermercados de color verde. Nadie allí te lo ""dona"" pero sabes lo que te llevas.En resumen.Una PENA de compra.Me siento ENGAÑADO y casi ESTAFADO.Nunca más volveré a fiarme de una oferta de esa firma.Y con respecto a Amazón, si alguien lee ésto, que no se ofenda. es como me siento de mal.P.D.: Me voy directamente a mis pedidos a ver si lo pudiera devolver.Ya os contaré.","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,1818,es,es
No hay comentarios.,"        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,16,nl,nl
"""Deliciosamente suave""","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,12,nl,nl
"""ottimi"" en italiano significa ""excelente"" en español.","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,6,fi,fi
"""Bonne qualité, nada que decir""","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,26,fr,it
"Acabo de recibirlo. No es muy grueso, pero eso me parece bien. El otro desagüe está obstruido, es muy suave y a un buen precio para divertirse.","        Scottex Original Papel higiénico, rollos dos capas que proporcionan el equilibro adecuado en suavidad y resistencia, 96 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,116,nl,nl
"Muy fácil de usar, duradero, puede ser manipulado por una sola persona, sin necesidad de ayuda para tomar la tensión, el resultado es claro y confiable. Lo compre para tomar la tensión 3 veces al dia por 1 mes y me ha ido muy bien. Utiliza 4 baterías AA.","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,254,es,es
"Me hubiera gustado que estuviera precintado, trae pilas y es fácil de usar, pesa poco y de momento funciona bien.","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,113,es,es
La tensión que marca es muy parecida a la que puede marcar la de una farmacia o hospital.Bastante correcto por el precio que tiene y por si has de llevar un control diario de la tensión.,"        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,186,es,es
Funciona perfectamente y muy fácil de utilizar,"        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,46,es,es
Buenas relación calidad precioEstá bien para tener control en casa,"        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,66,es,es
"🎁 CONTENIDO 🎁El tensiómetro viene en una caja ,bien embalado.En ella encuentras el aparato, manguito y las pilas incluidas que con unas 7 horas de uso.-30 memorias-Indicador latidos cardíacos irregulares.🧠 MI EXPERIENCIA 🧠Llevo usándolo unos meses ya que tengo que controlarme la presión arterial,los puntos más destacables son:✔️ Fácil e intuitivo de usar.Sòlo tienes que pulsar START y el aparato lo hace todo automaticamente,dando las medidas directamente en una pantalla bastante grande.✔️Medidas bastante precisas,yo suelo hacerme 2 y hago la media para mayor seguridad.✔️Buena calidad de materiales por lo que dura bastante.✔️La relación calidad- precio es genial.Yo lo compré con una oferta a 19 euros,me parecía que era demasiado barato para ser fiable,pero todo lo contrario.💁‍♂️A MEJORAR💁‍♂️❌️ Viene directamente en la caja,sin bolsa ni nada para guardarlo.❌️ Las instrucciones no me parecieron nadaclaras aunque es muy sencillo de usar.❌️ Las medidas de la cinta para el braze deberían ser algo más amplias.A mí me viene justo.💁‍♂️ OPINION💁‍♂️Sin duda volvería a comprarlo y más a este precio.Barato,fiable y muy fácil de usar.Espero os haya sido útil mi humilde opinión 🫡","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,1183,es,es
"Cumple su función, es bonito y pesa muy poco. Para el precio que tiene está muy bien para tener la tensión controlada como si te la tomases en la farmacia","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,154,es,es
"De fácil utilización, compacto y transportable con facilidad.Muy recomendable.","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,78,es,es
"Un tensiómetro perfecto para el control, fácil de usar y a un precio atractivo. ¡El suministro de pilas hubiera sido un plus!","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,131,fr,fr
Recepción rápida. El dispositivo funciona. Satisfecho.,"        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,49,fr,fr
"Este esfigmomanómetro es realmente una herramienta indispensable, es preciso en las mediciones (comparado varias veces con uno manual), es muy fácil de usar, cómodo y resistente. ¡De todas las marcas probadas, sin duda es la mejor encontrada hasta el momento! Precio adecuado.","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,277,it,it
"Funciona, tiene certificaciones. Lujo.","        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,29,pl,pl
¡Hace lo que tiene que hacer!,"        A&D Medical Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente – UA-611       ",Los más vendidos en Salud y cuidado personal,23,nl,nl
"Lo tomo junto al citrato de magnesio, creo que la combinación de ambos es fundamental, llevo 10 días consumíendo  y no tengo calambres al hacer movimientos que antes si tenía. Ingiero 6 pastillas diarias, peso 92kg , altura 1,90. Estaría bueno que sea en polvo porque tomar 6 pastillas es algo incómodo.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,303,es,es
"Dan sueñito porque son super buenas , pero reconozco que yo por tema de que tengo que mantenerme activa me las tomo más tarde porque si me las tomas por la mañana o incluso por el día da un sueñito que no puedes mantenerte de pie sin siesta. Así que bueno es algo que se soluciona , y respecto a sus resultados es súper efectivo y buenísimo.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,341,es,es
"He estado tomando citrato de magnesio durante varios meses.Lo que me gusta: 1. Se absorbe bien: Se nota que el cuerpo lo utiliza bien. 2. Muchos beneficios: Me ha ayudado con el sueño, me siento más relajado. 3. Fácil de tomar: Las cápsulas son fáciles de tragar en mi caso, aunque este tema es más personalLo que no me gusta tanto: 1. La dosis: Tuve que ajustar la cantidad al principio porque tomé demasiado y me causó un poco de molestias estomacales.En resumen, recomendaría el citrato de magnesio a cualquiera que quiera probar un suplemento de magnesio. Pero siempre es bueno hablar con un médico.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,603,es,es
"Para mí son cápsulas de fácil absorción, lo que las hace muy cómodas de tomar. Además, no tienen sabor, lo cual es genial para mí. El precio es bastante razonable, especialmente considerando que el bote es grande y dura 4 meses si se toman 2 cápsulas al día.Decidí probar estas vitaminas siguiendo una recomendación, ya que me dijeron que eran beneficiosas para los músculos, nervios, sistema inmune y huesos. Aunque no soy científica para certificar todo esto, puedo decir que desde que las empecé a tomar, me siento con más energía y mi bienestar general ha mejorado.Lo que más me gusta es la conveniencia de tomarlas, y el hecho de que un solo bote dure tanto tiempo. No tengo que preocuparme por reabastecerme constantemente. Aunque no puedo afirmar con certeza todos los beneficios que prometen, mi experiencia personal ha sido positiva y planeo seguir tomándolas en el futuro.En resumen, si estás buscando unas vitaminas fáciles de tomar, sin sabor desagradable y a un precio justo, definitivamente te recomendaría estas. ¡Han sido un gran complemento para mi rutina diaria!","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,1080,es,es
"Si tuviera que decir algo de la vitamina, diría, que el plástico que la envuelve, podrían evitarlo, ya que sí o sí, la tengo que abrir, esta vitamina y todas. Jamás pude tragar tales tamaños. Por lo demás es súper necesaria para el cuerpo. Y al fabricante, le diría, que la hagan más potente y así, se podría tomar solo una capsula y no 2, que es un poco engorroso, tomar tantas capsulas.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,388,es,es
Entrega rápida y bien precintada. Para valorar los efectos necesitaré mas tiempo,"        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,80,es,es
Llevo tomando magnesio para regular el sueño desde hace tiempo y animada por las reseñas favorables me decidí a comprar esta formulación. Puede que al haber tomado magnesio previamente me hiciera efecto antes pero desde que empecé a tomarlo mi sueño ha sido mas profundo y reparador. Lo recomiendo sin duda.,"        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,307,es,es
"Lo tomo a las 18h, estoy yendo regular al baño. Me siento más descansada.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,73,es,es
"Quería magnesio que me ""hinchara"" rápidamente (los párpados que saltan..) Estoy muy satisfecha; actúa rápidamente. ¿Casualidad o realidad? ¡Lo recomiendo! 👍🏻","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,162,fr,fr
"He empezado a tomarlo por síntomas que podrían ser debidos a la deficiencia de magnesio (sueño y calambres musculares). De hecho, desde que lo tomo, duermo mejor y también tengo menos molestias a nivel muscular.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,195,it,it
"Anteriormente tomaba pastillas hechas especialmente por el farmacéutico y esto me causaba trastornos estomacales y la sensación de estar a punto de vomitar. Con estas tabletas, después de un mes de uso, todavía estoy en perfecto estado. Mis calambres en las piernas por las mañanas son menores.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,227,nl,nl
"El paquete es bonito y está bien sellado. Las tabletas son grandes, pero aún así son razonables para tragar ☺️. Si tienes problemas, se podría dividir fácilmente en 2 mitades, mira la foto. Solía comprar una mezcla de magnesio y potasio en una farmacia, de 400 mg, y cambié a esta ahora. Similar a la de la farmacia, noto la diferencia: tengo la mente clara, me recupero muy bien después de un día estresante o un entrenamiento duro. Si no tomo extra de potasio (por ejemplo, solo magnesio) me siento arrastrado y cansado. Esta me funciona bien a mí. N.B. El paquete dice que la concentración es de 1460 mg, luego también menciona ""potasio activo"". Así que si realmente quieres alcanzar tus objetivos de consumo de potasio, asegúrate de prestar atención a esto.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,667,en,en
"El sabor es bueno. El tiempo de entrega fue bueno. En retrospectiva, diría claramente que el producto no es económico, ya que la lista de ingredientes no es precisa en mi caso y probablemente tampoco lo sea para los demás. Además, es posible obtener magnesio en forma de polvo puro a un mejor precio.

Los datos de peso por dos cápsulas tampoco son correctos: Dos cápsulas deben contener 1,48 g de citrato de magnesio. En mi caso, las dos cápsulas tienen un peso máximo de 1,43 g o menos. Tampoco se tiene en cuenta el peso de la cápsula, que es de 0,13 g.

Con 240 cápsulas, tenemos una pérdida mínima de contenido de 240 x (0,13 g + 0,03 g) = 38,4 g. Por lo tanto, el contenido de citrato de magnesio en el paquete debería ser de 120 x 1,48 g = 177,6 g. Muy probablemente no sea así.

No puedo decir si el contenido es preciso. Solo lo estoy evaluando en función del peso.","        Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatiga, Equilibra los Electrolitos, Suplemento Deportivo       ",Los más vendidos en Salud y cuidado personal,857,de,de
"El tensiómetro es de buena calidad y de muy fácil manejo. Da las funciones básicas perfectamente alta, baja y pulso. Tiene un tamaño adecuado y no tiene mantenimiento más que el de tenerlo limpio y sustituir las pilas cuando toque.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,231,es,es
"Necesitaba adquirir un tensiómetro por recomendación del médico debido a bajadas de tensión frecuentes.Tras mucho leer, preguntar e informarme me decidí por la marca Omron.Omron es un fabricante de aparatos para el cuidado de la salud, tanto para uso personal como profesional, con una larga trayectoria y eso me daba mucha confianza.Ofrecen tensiómetros de muñeca y de brazo. Los de muñeca son más cómodos de usar y su tamaño es menor. Bajo mi punto de vista, quizás más adecuados para transportarlos fácilmente, y darle un uso durante un viaje o para personas que, por su trabajo, necesitan llevarlo en el bolso.Entre los modelos de brazo que disponen, existen varios precios y diferencias.Los hay desde éste, que es el más sencillo, mostrando sólo tensión y pulsaciones hasta los más avanzados, que ofrecen otras funciones como brazalete inteligente wrap, memoria para dos usuarios, validación clínica, diabética y durante el embarazo, compatibilidad con dispositivos smartphone y Iphone… dependiendo de las características y necesidades que busques.En mi caso escogí el Omrom X2 Basic, el más básico de la gama. Mi tensión es bajita y sólo la necesito controlar temporalmente o días puntuales cuando me siento mareada. Es muy fácil de usar, el brazalete se ajusta desde los 22 a los 32 centímetros, lo cual me viene muy bien ya que soy muy delgadita, viene en su caja, en la que se encuentra el monitor, el brazalete,4 pilas AA que son las que necesita para funcionar y manual de instrucciones.No dispone de memoria para varias mediciones, por lo que si necesitas llevar un control de ellas, necesitarás apuntarlas en una libreta, pero para el uso que yo le doy, no era ningún inconveniente. Tampoco lleva funda como otros modelos, la puedes adquirir a parte, pero por el precio de este tensiómetro más el de la funda, yo optaría por otro modelo Omron más avanzado y que la incluya. Puedes guardarlo en su caja original, como hago yo, ya que no lo transporto, lo tengo siempre en casa, y queda recogido y protegido.En la pantalla sólo se observa la tensión ( baja y alta ) y pulsaciones, por lo que no tiene idiomas, ya que no es necesario.Para mi, una compra muy satisfactoria, con una muy buena calidad-precio para quien busquen un tensiónetro sencillo y económico.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,2271,es,es
"Es un equipo muy sencillo para medir la tensión y en esa sencillez reside su mejor virtud: muy sencillo de manejar, sin florituras ni memorias o programas semanales ni complicaciones de ningún tipo. Te aplicas la funda al brazo, pulsas un botón y en medio minuto te dice la tensión que tienes. Vuelves a pulsar el mismo botón y apagas el equipo, ya está sin más. Al ser una marca de reputación contrastada me trasmite la confianza de que los valores que me dice son reales y con desviaciones mínimas. Es todo lo que necesito.Lo recomiendo, funciona muy bien.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,558,es,es
"Cumple su función adecuadamente, Preciso y fácil de usar!","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,57,es,es
"Una marca de prestigio, numero uno de ventas en Japón y de uso en los centros sanitarios de la seguridad social. Éste modelo en concreto es muy sencillo de usar, rápido y fiable. Cumple con su función al 100%.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,209,es,es
"Buen tensiómetro, es muy fácil de usar y para que la gente mayor tenga controlada su tensión es perfecto.Únicamente hay que poner el sensor en el brazo y pulsar el botón de encendido. No se cómo de preciso es, pero Omron es una marca de prestigio y me imagino que será bastante fiable. Además, usando pilas es muy cómodo para usarlo en cualquier sitio. Todavía no se cuanto duran las pilas, pero tiene pinta de que van a durar bastanteArtículo muy recomendable.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,461,es,es
Se ha recibido el producto en dos días y en perfecto estado. Producto de calidad de una de las mejores marcas del mercado. Funcionamiento muy sencillo y resultados muy precisos. Relación calidad-precio de lo mejor que se puede encontrar hoy en día.,"        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,248,es,es
"Es pequeño, manejable, intuitivo, fácil de usar y ocupa poco espacio para guardarlo. Las mediciones son muy precisas.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,117,es,es
"Equipo de alta calidad, realmente recomendable.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,47,nl,nl
Mide con precisión y de buena calidad.,"        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,32,sv,sv
"Ya me había informado sobre los productos de esta empresa y he confirmado su calidad. El producto no es de gama alta, pero es lo que estaba buscando; facilidad de uso, precisión de las medidas y de construcción. Estoy muy satisfecho tanto con el producto como con el precio.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,269,it,it
"Omron es el fabricante número uno de equipos para medir la presión arterial (lo digo como médico con 40 años de experiencia), y solo he confiado en Omron por su calidad y durabilidad en sus dispositivos. Compré este como respaldo para una máquina Omron mucho más cara y rápidamente me di cuenta de que los componentes internos de ambos son muy similares. El artículo viene bien empaquetado, incluyendo nuevas baterías. La banda no es la banda semirrígida preformada que se encuentra en los modelos de gama alta de Omron, sino que en realidad es más cómoda para las personas a las que no les gusta que les tomen la presión arterial. No hay configuración, ya que esta máquina no utiliza la sincronización por bluetooth con la aplicación de Omron, y no es necesario agregar su edad y otros detalles para que la máquina funcione. Los resultados son consistentes, precisos y están a la par con la máquina más cara que tengo. Las baterías duran mucho y el dispositivo se puede usar con un adaptador de corriente adecuado. En general, el monitor perfecto si lo único que quieres es medir tu presión arterial de vez en cuando. Muy recomendado.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,1019,en,en
"Funciona bien y sobre todo la correa para el brazo es muy cómoda y fácil de poner. El tubo es un poco corto, pero desafortunadamente es así en todos los dispositivos nuevos. El dispositivo es fácil de usar... espero que sea preciso, lo sabré cuando lo verifique con el médico.","        OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente, 1 Unidad (Paquete de 1)       ",Los más vendidos en Salud y cuidado personal,279,de,de
"Siempre las compro cuando están a buen precio, y son de marca y calidad",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,71,es,es
"Las compré en una por 16.99€, considero que es muy bien precio teniendo en cuenta todas las pastillas que vienen.Funcionan muy bien, deja los cubiertos limpios y sin restos.",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,173,es,es
"sirve para la utilidad que se le da,y de marca de primera en el mercado, buen precio",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,84,es,es
"Como siempre un producto de confianza, merece la pena, yo no compro otro.",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,73,es,es
"Nos encontramos con Finish Powerball All in 1 Max, un producto realmente interesante  para el lavado de platos y utensilios varios en el lavavajillas. Este paquete contiene 110 pastillas compactas que son capaces de proporcionar una limpieza completa en un solo paso, eliminando las manchas y las grasas difíciles sin necesidad de utilizar múltiples productos.Cada pastilla está diseñada con una fórmula avanzada que incluye detergente, enjuague, secado y agentes brilantes, todo en una sola pastilla. Esto significa que no tienes que preocuparte por agregar diferentes productos a cada ciclo de lavado o tener que hacer un seguimiento de la cantidad de cada producto que se utiliza. Además, las pastillas están empaquetadas en un envase hermético para mantener su frescura y eficacia.La fórmula de Finish Powerball All in 1 Max es realmente eficaz en la eliminación de manchas y grasas difíciles, incluso en platos y vasos de vino tinto y café. Además, la pastilla incluye un agente brillante que ayuda a prevenir la formación de manchas y rayones en la vajilla, proporcionando un brillo duradero y un aspecto limpio y nuevo.Además de su eficacia en la limpieza, Finish Powerball All in 1 Max es fácil de usar. Simplemente hay que colocar una pastilla en el compartimento de detergente y activar el ciclo de lavado normal. La pastilla se disolverá y liberará su fórmula de limpieza completa durante el ciclo.Por otro lado, puedo decir que es un producto seguro y respetuoso con el medio ambiente, ya que está hecho con ingredientes biodegradables y no tóxicos. Además, es compatible con la mayoría de los lavavajillas y es fácil de almacenar, gracias a su envase compacto y práctico.En definitiva, es un producto imprescindible para tu lavavajillas. Con su fórmula avanzada y eficaz, su facilidad de uso y su sostenibilidad ambiental, es una elección más que adecuada para quienes buscan una solución completa y eficiente para mantener sus platos limpios y brillantes.",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,1969,es,es
Buen precio aprovechando la oferta. Por lo demás el producto es de sobras conocido.,        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,83,es,es
El mejor producto para el lavavajillas.,        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,39,es,es
"Producto de una marca reconocida a buen precio y entrega rápida, además la cantidad de pastillas",        Finish Powerball Power All in 1 Pastillas para el lavavajillas todo en 1 - Pack ahorro 110 pastillas       ,Los más vendidos en Salud y cuidado personal,96,es,es
